indice_tiempo,total_amba,colectivo_amba,subte_amba,tren_amba
2021-08-30,2899362,2745014,212817,477802
2021-08-31,2955989,2795235,221962,483445
2021-09-01,2648067,2502873,217848,427700
2021-09-02,2703378,2551013,222979,438777
2021-09-03,3113741,2946012,246492,522061
2021-09-04,2022947,1923982,130307,294279
2021-09-05,1183016,1127450,71375,133304
2021-09-06,3077378,2910085,232645,508594
2021-09-07,2636888,2492861,221971,409226
2021-09-08,2365986,2226685,216660,390191
2021-09-09,2920216,2758727,245232,467964
2021-09-10,3137820,2964997,260434,520845
2021-09-11,2092804,1985088,135510,313285
2021-09-12,325340,311166,279,17590
2021-09-13,2965678,2798821,234512,498055
2021-09-14,3198541,3020387,250501,519199
2021-09-15,3234522,3059614,255646,508419
2021-09-16,3211951,3038162,259502,526721
2021-09-17,3320851,3135432,273867,552516
2021-09-18,2202323,2086700,149333,335921
2021-09-19,1242796,1182535,80625,139294
2021-09-20,3080523,2906699,248709,504927
2021-09-21,3018901,2836806,269642,531132
2021-09-22,3157320,2978268,259683,509683
2021-09-23,3201989,3017260,267251,524849
2021-09-24,3321078,3131997,280384,561702
2021-09-25,2183669,2070801,146869,330630
2021-09-26,1319767,1253306,85774,155026
2021-09-27,3020276,2846540,245803,512077
2021-09-28,3118951,2938140,261882,518329
2021-09-29,3251447,3060345,269171,548633
2021-09-30,2873002,2699220,262088,487569
2021-10-01,3392782,3197223,289493,575658
2021-10-02,2052528,1943077,145504,310660
2021-10-03,1273486,1207603,86137,142826
2021-10-04,3266567,3072907,269127,558675
2021-10-05,3395610,3191969,290767,578180
2021-10-06,3407560,3199105,298100,586746
2021-10-07,3207444,2995661,319955,601982
2021-10-08,1952502,1836546,143453,316861
2021-10-09,2164982,2037807,164637,353924
2021-10-10,1284920,1213935,99841,152226
2021-10-11,1253183,1182277,88025,178561
2021-10-12,3338458,3133836,292410,581335
2021-10-13,3287482,3085579,294221,562338
2021-10-14,3403818,3193473,316869,571976
2021-10-15,3554433,3341481,315842,609363
2021-10-16,2407016,2271740,174811,381776
2021-10-17,1366569,1290661,103287,167234
2021-10-18,3279051,3067714,309959,578936
2021-10-19,3404292,3195317,298746,572145
2021-10-20,3436068,3222705,307427,587334
2021-10-21,3436004,3224327,310240,582415
2021-10-22,3393307,3188117,310427,582535
2021-10-23,2215515,2090023,173477,335541
2021-10-24,1381999,1308212,97394,163818
2021-10-25,3341115,3134050,291946,581429
2021-10-26,3398207,3186061,307927,583674
2021-10-27,3369455,3164089,304129,576433
2021-10-28,3347373,3134863,317026,575518
2021-10-29,3472473,3272746,314795,574042
2021-10-30,2282037,2166837,144552,350424
2021-10-31,1295512,1230387,89666,145382
2021-11-01,3317010,3108937,300682,564622
2021-11-02,3264052,3054593,309844,562253
2021-11-03,3431845,3215206,322172,587876
